Id,Bound
0,1
1,0
2,1
3,1
4,0
5,1
6,1
7,0
8,0
9,0
10,1
11,0
12,0
13,1
14,0
15,1
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,1
24,1
25,0
26,0
27,1
28,0
29,1
30,0
31,0
32,0
33,0
34,1
35,0
36,1
37,0
38,1
39,0
40,0
41,1
42,0
43,1
44,0
45,0
46,1
47,1
48,0
49,0
50,0
51,1
52,0
53,1
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,1
66,1
67,0
68,0
69,1
70,1
71,0
72,1
73,1
74,1
75,1
76,0
77,1
78,1
79,1
80,0
81,0
82,0
83,1
84,1
85,1
86,1
87,0
88,1
89,0
90,0
91,1
92,1
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,1
102,1
103,0
104,0
105,0
106,0
107,0
108,1
109,0
110,0
111,1
112,1
113,0
114,0
115,0
116,0
117,1
118,0
119,0
120,1
121,1
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,1
130,1
131,1
132,0
133,1
134,1
135,1
136,0
137,1
138,0
139,1
140,0
141,0
142,0
143,1
144,0
145,1
146,1
147,0
148,0
149,1
150,0
151,1
152,1
153,0
154,1
155,1
156,1
157,0
158,0
159,1
160,0
161,1
162,1
163,1
164,1
165,0
166,1
167,1
168,0
169,0
170,0
171,1
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,1
180,1
181,1
182,0
183,0
184,0
185,0
186,1
187,0
188,1
189,0
190,0
191,0
192,0
193,0
194,1
195,0
196,0
197,0
198,1
199,0
200,0
201,0
202,0
203,0
204,1
205,1
206,0
207,1
208,0
209,0
210,0
211,0
212,1
213,1
214,1
215,1
216,1
217,1
218,0
219,0
220,1
221,1
222,0
223,0
224,0
225,0
226,1
227,0
228,0
229,1
230,0
231,0
232,1
233,0
234,0
235,0
236,1
237,1
238,0
239,1
240,1
241,1
242,1
243,0
244,0
245,0
246,1
247,0
248,0
249,0
250,0
251,0
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,0
262,0
263,1
264,0
265,0
266,0
267,0
268,1
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,1
277,0
278,0
279,1
280,0
281,0
282,1
283,0
284,1
285,0
286,0
287,0
288,1
289,0
290,0
291,1
292,0
293,1
294,1
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,1
308,1
309,1
310,0
311,0
312,1
313,0
314,1
315,1
316,0
317,0
318,0
319,1
320,1
321,0
322,0
323,1
324,1
325,0
326,1
327,0
328,0
329,0
330,0
331,1
332,0
333,0
334,0
335,0
336,1
337,0
338,0
339,0
340,0
341,1
342,0
343,0
344,0
345,0
346,0
347,0
348,1
349,0
350,1
351,1
352,0
353,1
354,0
355,1
356,0
357,1
358,0
359,0
360,0
361,0
362,0
363,1
364,1
365,0
366,0
367,0
368,0
369,0
370,1
371,1
372,1
373,0
374,0
375,0
376,0
377,0
378,0
379,1
380,1
381,1
382,0
383,1
384,1
385,1
386,0
387,0
388,0
389,1
390,1
391,1
392,0
393,1
394,0
395,1
396,0
397,1
398,0
399,1
400,1
401,0
402,0
403,0
404,0
405,0
406,0
407,1
408,1
409,0
410,1
411,1
412,1
413,1
414,1
415,0
416,0
417,0
418,0
419,0
420,1
421,1
422,0
423,1
424,1
425,0
426,1
427,0
428,0
429,0
430,0
431,0
432,0
433,1
434,0
435,0
436,0
437,0
438,1
439,0
440,0
441,0
442,1
443,0
444,0
445,1
446,1
447,1
448,0
449,0
450,1
451,0
452,0
453,1
454,0
455,0
456,1
457,0
458,0
459,0
460,1
461,1
462,1
463,0
464,0
465,1
466,1
467,0
468,1
469,0
470,0
471,0
472,0
473,1
474,0
475,0
476,0
477,0
478,0
479,1
480,1
481,0
482,0
483,0
484,1
485,0
486,0
487,0
488,1
489,1
490,1
491,0
492,1
493,1
494,0
495,1
496,1
497,0
498,0
499,1
500,1
501,0
502,1
503,1
504,1
505,0
506,1
507,0
508,0
509,1
510,1
511,0
512,1
513,0
514,1
515,0
516,0
517,0
518,1
519,1
520,1
521,0
522,0
523,0
524,1
525,0
526,1
527,0
528,0
529,0
530,0
531,1
532,0
533,1
534,0
535,0
536,1
537,1
538,0
539,0
540,0
541,1
542,1
543,1
544,0
545,1
546,1
547,1
548,1
549,0
550,0
551,1
552,0
553,1
554,1
555,0
556,0
557,0
558,1
559,1
560,0
561,1
562,0
563,0
564,1
565,0
566,1
567,1
568,0
569,0
570,1
571,1
572,1
573,0
574,1
575,0
576,1
577,0
578,0
579,1
580,0
581,0
582,0
583,1
584,0
585,0
586,1
587,0
588,1
589,0
590,1
591,1
592,0
593,0
594,0
595,1
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,1
605,1
606,1
607,0
608,1
609,1
610,1
611,1
612,1
613,0
614,1
615,1
616,1
617,1
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,1
626,0
627,1
628,0
629,0
630,0
631,0
632,0
633,1
634,0
635,0
636,1
637,0
638,0
639,0
640,0
641,1
642,0
643,0
644,0
645,0
646,0
647,0
648,1
649,0
650,1
651,1
652,1
653,1
654,1
655,0
656,1
657,1
658,1
659,0
660,0
661,0
662,1
663,1
664,1
665,0
666,1
667,0
668,0
669,1
670,1
671,0
672,1
673,0
674,0
675,0
676,0
677,0
678,1
679,0
680,1
681,1
682,1
683,0
684,0
685,0
686,1
687,0
688,0
689,1
690,1
691,1
692,0
693,1
694,1
695,0
696,0
697,1
698,1
699,1
700,1
701,0
702,1
703,0
704,1
705,0
706,1
707,1
708,1
709,0
710,0
711,0
712,1
713,1
714,0
715,0
716,1
717,1
718,0
719,0
720,0
721,0
722,1
723,0
724,0
725,1
726,0
727,1
728,0
729,1
730,1
731,0
732,0
733,0
734,0
735,1
736,1
737,0
738,1
739,0
740,0
741,0
742,0
743,0
744,1
745,1
746,1
747,0
748,0
749,1
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,1
758,0
759,0
760,0
761,0
762,1
763,0
764,1
765,1
766,0
767,1
768,1
769,0
770,1
771,0
772,1
773,0
774,0
775,1
776,0
777,1
778,1
779,0
780,1
781,1
782,0
783,0
784,1
785,0
786,1
787,1
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,1
797,0
798,1
799,0
800,0
801,0
802,1
803,1
804,1
805,0
806,1
807,0
808,1
809,1
810,0
811,0
812,0
813,0
814,0
815,0
816,1
817,0
818,1
819,1
820,0
821,1
822,0
823,1
824,1
825,1
826,0
827,0
828,0
829,0
830,0
831,1
832,0
833,0
834,0
835,0
836,1
837,0
838,1
839,0
840,0
841,1
842,0
843,0
844,0
845,0
846,0
847,0
848,1
849,0
850,0
851,0
852,0
853,0
854,1
855,0
856,0
857,0
858,0
859,0
860,0
861,1
862,0
863,0
864,1
865,0
866,1
867,0
868,0
869,1
870,1
871,1
872,0
873,1
874,0
875,1
876,0
877,1
878,0
879,1
880,0
881,0
882,1
883,0
884,1
885,0
886,0
887,1
888,1
889,1
890,0
891,0
892,1
893,1
894,1
895,1
896,0
897,1
898,0
899,1
900,1
901,0
902,1
903,1
904,0
905,1
906,1
907,0
908,0
909,0
910,0
911,0
912,0
913,1
914,0
915,0
916,1
917,0
918,1
919,0
920,1
921,1
922,0
923,0
924,0
925,1
926,1
927,0
928,1
929,0
930,1
931,1
932,1
933,1
934,1
935,1
936,0
937,1
938,1
939,0
940,1
941,0
942,0
943,0
944,0
945,1
946,0
947,0
948,0
949,1
950,0
951,0
952,0
953,0
954,1
955,0
956,0
957,0
958,1
959,0
960,1
961,1
962,1
963,0
964,1
965,1
966,1
967,0
968,0
969,1
970,0
971,1
972,1
973,0
974,0
975,0
976,0
977,0
978,1
979,0
980,0
981,0
982,1
983,1
984,0
985,0
986,0
987,1
988,1
989,0
990,0
991,0
992,0
993,0
994,1
995,1
996,0
997,1
998,1
999,1
1000,1
1001,1
1002,1
1003,0
1004,1
1005,0
1006,0
1007,0
1008,1
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,1
1017,0
1018,0
1019,1
1020,1
1021,0
1022,1
1023,0
1024,0
1025,1
1026,0
1027,0
1028,1
1029,1
1030,0
1031,1
1032,0
1033,0
1034,0
1035,0
1036,1
1037,1
1038,1
1039,0
1040,0
1041,1
1042,1
1043,0
1044,1
1045,1
1046,1
1047,1
1048,1
1049,0
1050,0
1051,0
1052,1
1053,1
1054,0
1055,1
1056,1
1057,0
1058,1
1059,1
1060,0
1061,0
1062,0
1063,0
1064,1
1065,1
1066,0
1067,0
1068,0
1069,1
1070,1
1071,0
1072,0
1073,0
1074,1
1075,0
1076,1
1077,0
1078,0
1079,0
1080,0
1081,1
1082,1
1083,0
1084,1
1085,1
1086,0
1087,0
1088,0
1089,1
1090,0
1091,0
1092,1
1093,1
1094,1
1095,0
1096,1
1097,0
1098,1
1099,0
1100,1
1101,0
1102,1
1103,0
1104,1
1105,1
1106,1
1107,0
1108,0
1109,1
1110,1
1111,0
1112,0
1113,0
1114,1
1115,1
1116,0
1117,1
1118,1
1119,0
1120,0
1121,0
1122,1
1123,1
1124,0
1125,1
1126,1
1127,0
1128,0
1129,1
1130,1
1131,0
1132,0
1133,1
1134,1
1135,1
1136,0
1137,0
1138,0
1139,1
1140,0
1141,1
1142,1
1143,1
1144,0
1145,0
1146,1
1147,0
1148,1
1149,1
1150,0
1151,0
1152,0
1153,0
1154,1
1155,1
1156,1
1157,0
1158,0
1159,1
1160,1
1161,0
1162,1
1163,1
1164,1
1165,1
1166,1
1167,0
1168,1
1169,1
1170,0
1171,1
1172,0
1173,1
1174,1
1175,0
1176,1
1177,0
1178,0
1179,0
1180,1
1181,0
1182,0
1183,1
1184,1
1185,1
1186,0
1187,0
1188,1
1189,1
1190,1
1191,1
1192,1
1193,1
1194,1
1195,0
1196,1
1197,0
1198,0
1199,1
1200,1
1201,0
1202,0
1203,0
1204,0
1205,1
1206,1
1207,0
1208,1
1209,0
1210,0
1211,0
1212,1
1213,0
1214,1
1215,1
1216,1
1217,0
1218,0
1219,0
1220,0
1221,0
1222,1
1223,0
1224,0
1225,1
1226,0
1227,1
1228,0
1229,1
